timestamp,cids
1721855158000,1112223334
1721834932000,1112223334
1721834935000,1112223334
1721834539000,1112223334
1721835869000,1112223334
1721854589000,1112223334
1721834411000,1112223334
1721855517000,1112223334
1721835192000,1112223334
1721835193000,1037322597
1721855161000,1037322597
1721837375000,1112223334
1721834349000,1112223334-1037322597
1721854654000,1112223334
1721835716000,1037322597
1721838946000,1037322597
1721838944000,1112223334
1721854736000,1112223334
1721839008000,1112223334
1721855590000,1037322597
1721839007000,1112223334
1721834476000,1112223334
1721835125000,1037322597
1721855593000,1112223334
1721834670000,1112223334
1721855310000,1037322597
1721834999000,1112223334
1721854368000,1112223334
1721855734000,1112223334
1721838879000,1112223334
1721838878000,1112223334
1721835326000,1112223334
1721854727000,1112223334
1721838080000,1037322597
1721837314000,1112223334
1721837311000,1112223334
1721835257000,1112223334-1037322597
1721839137000,1112223334
1721835454000,1112223334
1721854053000,1112223334
1721837750000,1112223334
1721855661000,1037322597
1721855443000,1112223334
1721854873000,1112223334
1721853986000,1112223334
1721855805000,1112223334
1721834606000,1037322597
1721837885000,1037322597
1721835782000,1037322597
1721837883000,1112223334
1721834410000,1112223334
1721838211000,1112223334
1721837881000,1037322597
1721838014000,1112223334
1721855376000,1112223334
1721854881000,1112223334
1721835583000,1112223334
